,id,created_at,text,author_id
27,1532507149770817542,2022-06-02T23:39:11.000Z,"We need to:

Ban assault weapons — and if we can’t, then we should raise the age to purchase them from 18 to 21.

Ban high-capacity magazines.

Strengthen background checks.

Enact safe storage laws and red flag laws.

Repeal gun manufacturers’ immunity from liability.",1349149096909668363
28,1532506511443886091,2022-06-02T23:36:39.000Z,"This isn’t about taking away anyone’s rights.

It’s about protecting children. It’s about protecting families. It’s about protecting communities.

It’s about protecting our freedoms to go to school, to a grocery store, to go to church without being shot and killed.",1349149096909668363
29,1532505251210723337,2022-06-02T23:31:39.000Z,"Tonight, I’m addressing the nation on the recent tragic mass shootings, and the need for Congress to pass commonsense laws to combat the epidemic of gun violence. https://t.co/qkMEGKhsqH",1349149096909668363
30,1532497886847684610,2022-06-02T23:02:23.000Z,"I met with NATO Secretary General Stoltenberg today to discuss the upcoming Madrid Summit. The U.S. and our Allies will strengthen NATO’s deterrence and defense and tackle new challenges, from cyber to climate change. https://t.co/gZk0C0Xorg",1349149096909668363
31,1532448448104087558,2022-06-02T19:45:56.000Z,"My plan to tackle inflation is simple:

- Let the Fed do its job
- Lower everyday costs for Americans
- Keep reducing the deficit

By taking these steps — and with Congress taking action — we can build a sustained recovery that benefits all Americans.",1349149096909668363
32,1532406804751196160,2022-06-02T17:00:27.000Z,"I’ve got an update on our efforts to bring more infant formula to the United States: We secured another 6.5 million bottles of safe infant formula from Nestlé. That means as of today, 94.5 million bottles of safe infant formula are heading to U.S. shelves. https://t.co/1s4A5CphpB",1349149096909668363
33,1532342847810191361,2022-06-02T12:46:19.000Z,"Jill and I wish Your Majesty a joyful Platinum Jubilee celebration. On behalf of the United States, congratulations to Queen Elizabeth II on an unprecedented 70 years of service to the UK and Commonwealth and thank you for your friendship to the American people. https://t.co/mwaZSYBuhZ",1349149096909668363
34,1532127356265054209,2022-06-01T22:30:01.000Z,"Third, the Food and Drug Administration is reviewing applications for other new, high-quality imports to increase our supply.
 
We still have work to do, but we are making critical progress.",1349149096909668363
35,1532127355036221447,2022-06-01T22:30:01.000Z,"Second, I launched Operation Fly Formula. A major effort to air-lift infant formula that meets American health and safety standards.
 
Today, I’m proud to say that because of these flights, high-quality formula is already on its way to American shelves.",1349149096909668363
36,1532127353501016066,2022-06-01T22:30:01.000Z,"We’ve taken three key actions.
 
First, I invoked the Defense Production Act. A measure to make sure that manufacturers are first in line for the materials and ingredients they need to make safe, high-quality infant formula here at home.",1349149096909668363
37,1532127351751991296,2022-06-01T22:30:00.000Z,"As a father and a grandfather, I understand how difficult the formula shortage has been for families all across the country.
 
It’s why I’ve directed my Administration to use every tool available to increase supply and get more formula on shelves as quickly as possible.",1349149096909668363
38,1532110961993256962,2022-06-01T21:24:53.000Z,"Today, I’m announcing plans for our third and fourth Operation Fly Formula missions.
 
These flights will bring 3.7 million bottles of Kendamil formula and 4.6 million bottles of Bubs Australia infant formula.",1349149096909668363
39,1532101330332000257,2022-06-01T20:46:36.000Z,"Today, we remember the hell unleashed 101 years ago in Tulsa, where Greenwood was raided, firebombed, and destroyed by a violent white supremacist mob. It wasn’t a riot, it was a massacre. We must continue to reckon with the past and work to build a more just future.",1349149096909668363
40,1532071574760726528,2022-06-01T18:48:22.000Z,Tune in as I meet with major infant formula manufacturers to discuss our work to accelerate infant formula production and ramp up imports of formula through Operation Fly Formula. https://t.co/UtTP6owcRq,1349149096909668363
41,1532057523347689472,2022-06-01T17:52:32.000Z,"Thanks for stopping by the White House, @bts_bighit. https://t.co/JRE3Firnbc",1349149096909668363
42,1532015751640535044,2022-06-01T15:06:33.000Z,Join us for the U.S. Coast Guard change of command ceremony. https://t.co/Hd7NF8gAaV,1349149096909668363
43,1531993187820220418,2022-06-01T13:36:53.000Z,"During Pride Month, we honor the resilience of LGBTQI+ people who are fighting to live authentically and freely. We reaffirm that LGBTQI+ rights are human rights. And we recommit to delivering protections, safety, and equality so everyone can realize the full promise of America.",1349149096909668363
44,1531843043678208000,2022-06-01T03:40:16.000Z,"It was great to meet with you, @bts_bighit. Thanks for all you’re doing to raise awareness around the rise in anti-Asian hate crimes and discrimination.

I look forward to sharing more of our conversation soon. https://t.co/LnczTpT2aL",1349149096909668363
45,1531767313078394880,2022-05-31T22:39:20.000Z,"It was an honor to welcome Prime Minister Jacinda Ardern of New Zealand to the White House for a bilateral meeting. We worked to advance the U.S.-New Zealand partnership and our shared vision of a free, open, and resilient Indo-Pacific. https://t.co/xUbENyBTM1",1349149096909668363
